source_index,source_name,source_hebrew,source_scope,variant_label,hebrew_variant,note,standard,mispar_gadol,base12_standard,base12_mispar_gadol,collapse_standard,collapse_mispar_gadol,collapse_base12_standard,collapse_base12_mispar_gadol,standard_base12_palindrome,mispar_base12_palindrome,final_letter_notes,interesting_hits,gained_against_original,lost_against_original
13,Shekhinah,שכינה,literal-heading,add_initial_el,אל שכינה,mechanical addition of initial El before a single-word title,416,416,2A8,2A8,11,11,2,2,no,no,,,,
14,HaMakom,המקום,literal-heading,original,המקום,paper heading,191,751,13B,527,11,4,6,5,no,no,,std-base10-palindrome,,
14,HaMakom,המקום,literal-heading,remove_ha_first_word,מקום,mechanical removal of definite article from first word,186,746,136,522,6,8,10,9,no,no,,mg-collapse-8,mg-collapse-8,std-base10-palindrome
14,HaMakom,המקום,literal-heading,add_initial_el,אל המקום,mechanical addition of initial El before a single-word title,222,782,166,552,6,8,4,12,no,no,,mg-base12-collapse-12; mg-collapse-8; std-base10-palindrome,mg-base12-collapse-12; mg-collapse-8,
15,HaRachaman,הרחמן,literal-heading,original,הרחמן,paper heading,303,953,213,675,6,8,6,9,no,no,,mg-collapse-8; std-base10-palindrome,,
15,HaRachaman,הרחמן,literal-heading,remove_ha_first_word,רחמן,mechanical removal of definite article from first word,298,948,20A,670,10,3,12,4,no,no,,std-base12-collapse-12,std-base12-collapse-12,mg-collapse-8; std-base10-palindrome
15,HaRachaman,הרחמן,literal-heading,add_initial_el,אל הרחמן,mechanical addition of initial El before a single-word title,334,984,23A,6A0,10,3,6,7,no,no,,,,mg-collapse-8; std-base10-palindrome
16,HaKadosh Baruch Hu,הקדוש ברוך הוא,literal-heading,original,הקדוש ברוך הוא,paper heading,655,1135,467,7A7,7,10,8,6,no,yes,,mg-base12-palindrome; std-base12-collapse-8; std-constant-655:Tanakh-chapter-base12-prefix,,
16,HaKadosh Baruch Hu,הקדוש ברוך הוא,literal-heading,remove_ha_first_word,קדוש ברוך הוא,mechanical removal of definite article from first word,650,1130,462,7A2,11,5,12,10,no,no,,std-base12-collapse-12,std-base12-collapse-12,mg-base12-palindrome; std-base12-collapse-8; std-constant-655:Tanakh-chapter-base12-prefix
17,Ribbono Shel Olam,רבונו של עולם,literal-heading,original,רבונו של עולם,paper heading,740,1300,518,904,11,4,5,4,no,no,,,,
17,Ribbono Shel Olam,רבונו של עולם,literal-heading,add_ha_first_word,הרבונו של עולם,mechanical addition of definite article to first word,745,1305,521,909,7,9,8,9,no,yes,,mg-base12-palindrome; std-base12-collapse-8,mg-base12-palindrome; std-base12-collapse-8,
18,Yeshua,ישוע,literal-heading,original,ישוע,paper heading,386,386,282,282,8,8,12,12,yes,yes,,mg-base12-collapse-12; mg-base12-palindrome; mg-collapse-8; mg-constant-386:Yeshua; mg-outer-2-frame:282; mg-yeshua-bridge-282; std-base12-collapse-12; std-base12-palindrome; std-collapse-8; std-constant-386:Yeshua; std-outer-2-frame:282; std-yeshua-bridge-282,,
18,Yeshua,ישוע,literal-heading,add_ha_first_word,הישוע,mechanical addition of definite article to first word,391,391,287,287,4,4,8,8,no,no,,mg-base12-collapse-8; std-base12-collapse-8,mg-base12-collapse-8; std-base12-collapse-8,mg-base12-collapse-12; mg-base12-palindrome; mg-collapse-8; mg-constant-386:Yeshua; mg-outer-2-frame:282; mg-yeshua-bridge-282; std-base12-collapse-12; std-base12-palindrome; std-collapse-8; std-constant-386:Yeshua; std-outer-2-frame:282; std-yeshua-bridge-282
18,Yeshua,ישוע,literal-heading,add_initial_el,אל ישוע,mechanical addition of initial El before a single-word title,417,417,2A9,2A9,12,12,3,3,no,no,,mg-collapse-12; std-collapse-12,mg-collapse-12; std-collapse-12,mg-base12-collapse-12; mg-base12-palindrome; mg-collapse-8; mg-constant-386:Yeshua; mg-outer-2-frame:282; mg-yeshua-bridge-282; std-base12-collapse-12; std-base12-palindrome; std-collapse-8; std-constant-386:Yeshua; std-outer-2-frame:282; std-yeshua-bridge-282
19,Immanuel,עמנו אל,literal-heading,original,עמנו אל,paper heading,197,197,145,145,8,8,10,10,no,no,,mg-collapse-8; std-collapse-8,,
19,Immanuel,עמנו אל,literal-heading,add_ha_first_word,העמנו אל,mechanical addition of definite article to first word,202,202,14A,14A,4,4,6,6,no,no,,mg-base10-palindrome; std-base10-palindrome,mg-base10-palindrome; std-base10-palindrome,mg-collapse-8; std-collapse-8
20,Mashiach,משיח,literal-heading,original,משיח,paper heading,358,358,25A,25A,7,7,8,8,no,no,,mg-base12-collapse-8; std-base12-collapse-8,,
20,Mashiach,משיח,literal-heading,add_ha_first_word,המשיח,mechanical addition of definite article to first word,363,363,263,263,12,12,11,11,no,no,,mg-base10-palindrome; mg-collapse-12; std-base10-palindrome; std-collapse-12,mg-base10-palindrome; mg-collapse-12; std-base10-palindrome; std-collapse-12,mg-base12-collapse-8; std-base12-collapse-8
20,Mashiach,משיח,literal-heading,add_initial_el,אל משיח,mechanical addition of initial El before a single-word title,389,389,285,285,2,2,6,6,no,no,,,,mg-base12-collapse-8; std-base12-collapse-8
21,Sar Shalom,שר שלום,literal-heading,original,שר שלום,paper heading,876,1436,610,9B8,3,5,7,10,no,no,,,,
21,Sar Shalom,שר שלום,literal-heading,add_ha_first_word,השר שלום,mechanical addition of definite article to first word,881,1441,615,A01,8,10,12,11,no,no,,mg-base10-palindrome; std-base12-collapse-12; std-collapse-8,mg-base10-palindrome; std-base12-collapse-12; std-collapse-8,
22,Adon,אדון,literal-heading,original,אדון,paper heading,61,711,51,4B3,7,9,6,9,no,no,,,,
22,Adon,אדון,literal-heading,add_ha_first_word,האדון,mechanical addition of definite article to first word,66,716,56,4B8,12,5,11,5,no,no,,std-base10-palindrome; std-collapse-12,std-base10-palindrome; std-collapse-12,
22,Adon,אדון,literal-heading,add_initial_el,אל אדון,mechanical addition of initial El before a single-word title,92,742,78,51A,11,4,6,7,no,no,,,,
23,Elohei HaShamayim,אלהי השמים,literal-heading,original,אלהי השמים,paper heading,441,1001,309,6B5,9,2,12,4,no,no,,mg-base10-palindrome; std-base12-collapse-12,,
